feat	id
WHRN	634
SEMA4G	635
BLNK	636
SORBS1	637
BAMBI	638
IL11	639
SMIM24	640
CRISP3	641
FKBP5	642
ITPR3	643
DSP	644
PCSK5	645
SCD	646
ABLIM1	647
ERMP1	648
NRP1	649
PRTFDC1	650
PALMD	651
TSPAN15	652
MACROH2A2	653
KCNK6	654
HSD3B7	655
MAGEB2	656
PRKY	657
MTAP	658
MISP	659
CEP170B	660
HCN2	661
RASSF7	662
GADD45B	663
PALM	664
ARVCF	665
ZDHHC8	666
SERPIND1	667
MMP11	668
P2RX6	669
DERL3	670
SUSD2	671
GGT5	672
SEC14L2	673
GGT1	674
PRODH	675
MFNG	676
CARD10	677
GRK3	678
SH3BP1	679
LGALS1	680
PIK3IP1	681
SOX10	682
PICK1	683
TTC28	684
SEPTIN3	685
SLC5A4	686
KDELR3	687
DMC1	688
XBP1	689
RAB36	690
TIMP3	691
SUN2	692
NEFH	693
BIK	694
HMOX1	695
TSPO	696
PDGFB	697
SYNGR1	698
APOL1	699
PNPLA3	700
MYH9	701
FOXRED2	702
IFT27	703
PVALB	704
KIAA0930	705
NCF4	706
UPK3A	707
FAM118A	708
KCTD17	709
ABHD4	710
GZMB	711
COCH	712
CDKL1	713
PYGL	714
TRIM9	715
CCDC198	716
PLEK2	717
DAAM1	718
RIN3	719
LGMN	720
GALNT16	721
HIF1A	722
BDKRB1	723
PAPLN	724
EFS	725
DHRS2	726
PCK2	727
NFKBIA	728
REC8	729
NFATC4	730
PLTP	731
PYGB	732
PROCR	733
NINL	734
CD40	735
SGK2	736
HNF4A	737
NFATC2	738
RIMS4	739
PABPC1L	740
SALL4	741
BMP7	742
CTSZ	743
SLCO4A1	744
NTSR1	745
SLC17A9	746
BIRC7	747
NKAIN4	748
EEF1A2	749
PTK6	750
TRIB3	751
RASSF2	752
SLC52A3	753
SNPH	754
SIRPB1	755
FERMT1	756
PLCB4	757
MYL9	758
JAG1	759
SNTA1	760
PXMP4	761
CST3	762
CST4	763
WFDC2	764
MAP1LC3A	765
TNNC2	766
ZNF516	767
ST8SIA5	768
SMAD7	769
LIPG	770
LAMA1	771
RNF125	772
MXRA5	773
STS	774
TBL1X	775
GPR143	776
MID1	777
CHRDL1	778
SRPX	779
ATP11C	780
ABCD1	781
SYP	782
PLP2	783
PLS3	784
RENBP	785
ELF4	786
SMARCA1	787
ASB9	788
PIM2	789
SCML2	790
PCSK1N	791
CD99L2	792
VGLL1	793
TIMP1	794
KLHL4	795
GABRE	796
FGD1	797
PORCN	798
ITIH6	799
MAGED2	800
KLF8	801
SRPX2	802
SYTL4	803
PBDC1	804
ARMCX3	805
BEX4	806
RUBCNL	807
NALCN	808
CAB39L	809
KLF5	810
ACP5	811
FLT1	812
RGCC	813
KATNAL1	814
TSC22D1	815
MSLN	816
HSF4	817
CORO1A	818
GDPD3	819
ELMO3	820
PLLP	821
CCL17	822
PARD6A	823
MMP15	824
NME3	825
NDRG4	826
SETD6	827
HAS3	828
ESRP2	829
FA2H	830
WFDC1	831
COTL1	832
CRISPLD2	833
NME4	834
LMF1	835
HAGHL	836
SLC7A5	837
METRN	838
CRYM	839
CPPED1	840
SALL1	841
TOX3	842
QPRT	843
XYLT1	844
PYCARD	845
IL21R	846
SYT17	847
TMC5	848
VPS35L	849
CORO2B	850
AP3B2	851
CTSH	852
CD276	853
CEMIP	854
HOMER2	855
OCA2	856
TJP1	857
BMF	858
RHOV	859
MYEF2	860
PDGFRL	861
ZDHHC2	862
CA2	863
EYA1	864
CPQ	865
CALB1	866
SFRP1	867
LAPTM4B	868
NIPAL2	869
PLAT	870
JPH1	871
DKK4	872
GDAP1	873
ESRP1	874
CCN4	875
NDRG1	876
TRPS1	877
NCALD	878
GSDMD	879
ANXA13	880
SQLE	881
SH2D4A	882
SLC39A14	883
TNFRSF10A	884
TUSC3	885
ARHGEF10	886
ASAH1	887
BNIP3L	888
KCNN4	889
MAP4K1	890
TUBB4A	891
RELB	892
FCGRT	893
PPP1R13L	894
KLC3	895
CD37	896
AMH	897
FCER2	898
DMPK	899
IL4I1	900
TLE6	901
IL27RA	902
TNNT1	903
OLFM2	904
SYDE1	905
CASP14	906
SLC1A6	907
DYRK1B	908
EBI3	909
SHD	910
FSD1	911
CLIP3	912
TJP3	913
APLP1	914
TGFB1	915
DENND3	916
MYH14	917
ICAM4	918
ICAM5	919
CEACAM5	920
ATP1A3	921
MEIS3	922
PTPRS	923
CNFN	924
GRIN2D	925
CLEC11A	926
PLA2G4C	927
RAB3D	928
DBP	929
CAPS	930
PLPPR2	931
FAM83E	932
RASIP1	933
PLEKHA4	934
RAB3A	935
ISYNA1	936
UPK1A	937
GAPDHS	938
MAG	939
TMEM59L	940
LSR	941
HPN	942
SCN1B	943
PBX4	944
ZNF85	945
CADM4	946
RASA4	947
CDK6	948
TFPI2	949
NAMPT	950
PON3	951
PON2	952
ITGB8	953
WDR91	954
DNAH11	955
DLX5	956
STEAP1B	957
PTN	958
MPP6	959
GSDME	960
ATP6V0A4	961
ADAP1	962
CAV2	963
CAV1	964
MET	965
HOXA1	966
HOXA3	967
LFNG	968
HOXA5	969
HOXA6	970
TSPAN12	971
HOXA13	972
CPED1	973
CPVL	974
CHN2	975
GRB10	976
ABHD11	977
COBL	978
STX1A	979
EPHB6	980
HSPB1	981
NPTX2	982
CYP3A5	983
PTPRZ1	984
TFR2	985
PCOLCE	986
SERPINE1	987
C1GALT1	988
PLOD3	989
GLCCI1	990
MEST	991
ACTR3C	992
TSPAN13	993
RARRES2	994
AGR2	995
AHR	996
GIMAP2	997
TMEM176B	998
GLI3	999
BLVRA	1000
PRKAG2	1001
AEBP1	1002
CLIP2	1003
SLC1A1	1004
LHX2	1005
CNTNAP3	1006
NMRK1	1007
PRUNE2	1008
MEGF9	1009
CORO2A	1010
C5	1011
TLE4	1012
PTGR1	1013
SUSD1	1014
AMBP	1015
DNM1	1016
ENG	1017
DOCK8	1018
KANK1	1019
ELAVL2	1020
NCS1	1021
CA9	1022
TYRP1	1023
MPDZ	1024
DDX58	1025
PIP5K1B	1026
GLIS3	1027
NPDC1	1028
PTGDS	1029
ABCA2	1030
PDLIM1	1031
GATA3	1032
HPS1	1033
RASSF4	1034
DNMBP	1035
CXCL12	1036
PALD1	1037
UNC5B	1038
VSIR	1039
SPOCK2	1040
ACTA2	1041
LIPA	1042
SFXN3	1043
KAZALD1	1044
NEURL1	1045
SH3PXD2A	1046
MAP3K8	1047
DKK1	1048
EBF3	1049
SORCS1	1050
ZMIZ1	1051
DNAJC12	1052
TSPAN14	1053
KRT23	1054
CSF3	1055
RAPGEFL1	1056
RNF43	1057
SEPTIN4	1058
TRIM16L	1059
HOXB6	1060
ENO3	1061
RASD1	1062
BLMH	1063
ALDH3A1	1064
ICAM2	1065
SYNGR2	1066
LGALS3BP	1067
CCL2	1068
DHX58	1069
HSD17B1	1070
CNTNAP1	1071
COL1A1	1072
SGCA	1073
VAT1	1074
ABCC3	1075
SMURF2	1076
SLC16A6	1077
EFNB3	1078
MAP2K6	1079
SLC9A3R1	1080
VTN	1081
CDR2L	1082
PMP22	1083
ALDOC	1084
RAB34	1085
ODAM	1086
NMU	1087
CRACD	1088
AREG	1089
MAPK10	1090
TBC1D9	1091
INPP4B	1092
CPE	1093
WFS1	1094
ANXA10	1095
AADAT	1096
GALNT7	1097
SOD3	1098
CPZ	1099
TRIM2	1100
SLC2A9	1101
SH3D19	1102
GLRB	1103
BST1	1104
KLHL5	1105
FAM149A	1106
UGDH	1107
PPARGC1A	1108
CRYAB	1109
HTATIP2	1110
CTSC	1111
B3GAT1	1112
VWA5A	1113
SIAE	1114
LPXN	1115
DTX4	1116
UNC93B1	1117
ST3GAL4	1118
CPT1A	1119
CCND1	1120
HPX	1121
TRIM3	1122
FOLR1	1123
ARHGEF17	1124
GALNT18	1125
UPK2	1126
NECTIN1	1127
KIAA1549L	1128
SLC15A3	1129
ACCS	1130
SCGB2A2	1131
MDK	1132
SLC22A18	1133
SLC35F2	1134
SOX6	1135
PITPNM1	1136
TCIRG1	1137
EXPH5	1138
P3H3	1139
PPFIBP1	1140
CLEC2B	1141
SELPLG	1142
CORO1C	1143
CAPRIN2	1144
IL23A	1145
LIN7A	1146
KRT18	1147
ACSS3	1148
TNS2	1149
PPM1H	1150
ELK3	1151
WNT5B	1152
TRPV4	1153
PRR4	1154
SH2B3	1155
MANSC1	1156
ALDH2	1157
SCNN1A	1158
LTBR	1159
OAS3	1160
OAS2	1161
MGP	1162
RASAL1	1163
ARHGDIB	1164
SLC38A1	1165
VDR	1166
STX2	1167
TBC1D30	1168
CHPT1	1169
ENO2	1170
PTPN6	1171
SLCO1B3	1172
LDHB	1173
ST8SIA1	1174
PHC1	1175
COL12A1	1176
BTN3A3	1177
DSE	1178
GCNT2	1179
NEDD9	1180
ADTRP	1181
MAN1A1	1182
TPD52L1	1183
NCOA7	1184
RIPOR2	1185
